n_files,file_name,shape,fold,seed,score
2,5d27075f03f801723c2e360f_train.csv,"(23666, 7033)",19,1234,3.943510418004554
2,5d27075f03f801723c2e360f_train.csv,"(23666, 7033)",999,1234,3.8952639144803887
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",0,1234,2.563860541192654
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",1,1234,2.665390197952235
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",2,1234,2.7086763454335316
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",3,1234,2.747326752650536
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",4,1234,2.7519770544915145
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",5,1234,2.7513862173420187
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",6,1234,2.584793308938666
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",7,1234,2.597614691699302
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",8,1234,2.6248797118287346
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",9,1234,2.5498108859362723
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",10,1234,2.235736189240766
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",11,1234,2.6221675853558986
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",12,1234,2.542323271143315
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",13,1234,2.5511910950136767
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",14,1234,2.627559884766585
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",15,1234,2.7156169552267513
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",16,1234,2.582775184879422
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",17,1234,2.6641086416026547
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",18,1234,2.5011872771275523
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",19,1234,2.834704899946262
